VariableID,VariableTypeCV,VariableCode,VariableNameCV,VariableDefinition,SpeciationCV,NoDataValue
33,Hydrology,Streamflow,Streamflow,The volume of water flowing past a fixed point. Equivalent to discharge,Not Applicable,-9999
34,Climate,Temperature,Temperature,Temperature,Not Applicable,-9999
35,Climate,TemperatureChange,Temperature change,Temperature change,Not Applicable,-9999
36,Climate,TemperatureDewPoint,"Temperature, dew point",Dew point temperature,Not Applicable,-9999
37,Climate,Temperature_Sensor,"Temperature, sensor","Temperature, raw data from sensor",Not Applicable,-9999
38,Climate,TideStage,Tide stage,Tidal stage,Not Applicable,-9999
39,Climate,TimeElapsed,"Time, elapsed",Time elapsed since an event occurred,Not Applicable,-9999
40,Climate,Transpiration,Transpiration,Transpiration,Not Applicable,-9999
41,Climate,VaporPressure,Vapor pressure,The pressure of a vapor in equilibrium with its non-vapor phases,Not Applicable,-9999
42,Climate,VaporPressureDeficit,Vapor pressure deficit,The difference between the actual water vapor pressure and the saturation of water vapor pressure at a particular temperature,Not Applicable,-9999
43,Hydrology,Velocity,Velocity,Water velocity,Not Applicable,-9999
44,Hydrology,Volume,Volume,Flow hydrograph volume,Not Applicable,-9999
45,Hydrology,VolumetricWaterContent,Volumetric water content,Volume of liquid water relative to bulk volume. Used for example to quantify soil moisture,Not Applicable,-9999
46,Hydrology,WaterColumnEquivalentHeightAbsolute,"Water column equivalent height, absolute",The absolute pressure (combined water + barometric) on a sensor expressed as the height of an equivalent column of water,Not Applicable,-9999
47,Hydrology,WaterColumnEquivalentHeightBarometric,"Water column equivalent height, barometric",Barometric pressure expressed as an equivalent height of water over the sensor,Not Applicable,-9999
48,Hydrology,WaterDepth,Water depth,Water depth is the distance between the water surface and the bottom of the water body at a specific location specified by the site location and offset,Not Applicable,-9999
49,Hydrology,WaterFlux,Water flux,Water Flux,Not Applicable,-9999
50,Hydrology,WaterLevel,Water level,Water level relative to datum. The datum may be local or global such as NGVD 1929 and should be specified in the method description for associated data values,Not Applicable,-9999
51,Hydrology,WaterPotential,Water potential,"Water potential is the potential energy of water relative to pure free water (e.g. deionized water) in reference conditions. It quantifies the tendency of water to move from one area to another due to osmosis, gravity, mechanical pressure, or matrix effects including surface tension",Not Applicable,-9999
52,Hydrology,WaterUseAgriculture,"Water Use, Agriculture",Water pumped for Agriculture,Not Applicable,-9999
53,Hydrology,WaterUseIndustrialCommercialPower,"Water Use, Commercial + Industrial + Power","Water pumped by commercial, industrial users",Not Applicable,-9999
54,Hydrology,WaterUseDomesticWells,"Water Use, Domestic wells",Water pumped by domestic wells,Not Applicable,-9999
55,Hydrology,WaterUsePublicSupply,"Water Use, Public Supply",Water supplied by a public utility,Not Applicable,-9999
56,Hydrology,WaterUseRecreation,"Water Use, Recreation","Recreational water use, for example golf courses",Not Applicable,-9999
57,Climate,WaterVaporConcentration,Water vapor concentration,Water vapor concentration,Not Applicable,-9999
58,Climate,WaterVaporDensity,Water vapor density,Water vapor density,Not Applicable,-9999
59,Climate,WaveHeight,Wave height,"The height of a surface wave, measured as the difference in elevation between the wave crest and an adjacent trough",Not Applicable,-9999
60,Climate,WeatherConditions,Weather conditions,Weather conditions,Not Applicable,-9999
61,Climate,WindDirection,Wind direction,Wind direction,Not Applicable,-9999
62,Climate,WindGustDirection,Wind gust direction,Direction of gusts of wind,Not Applicable,-9999
63,Climate,WindGustSpeed,Wind gust speed,Speed of gusts of wind,Not Applicable,-9999
64,Climate,WindRun,Wind Run,The length of flow of air past a point over a time interval. Windspeed times the interval of time,Not Applicable,-9999
65,Climate,WindSpeed,Wind speed,Wind speed,Not Applicable,-9999
66,Climate,WindStress,Wind stress,Drag or trangential force per unit area exerted on a surface by the adjacent layer of moving air,Not Applicable,-9999
