Term,Definition
"1,6,7-Trimethylnaphthalene","1,6,7-Trimethylnaphthalene (C10H5(CH3)3), a polycyclic aromatic hydrocarbon (PAH)"
"1,6-Dimethylnaphthalene","1,6-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"1,8-Dimethylnaphthalene","1,8-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"13b(H),17a(H)-20R-Diacholestane","13b(H),17a(H)-20R-Diacholestane"
"13b(H),17a(H)-20S-Diacholestane","13b(H),17a(H)-20S-Diacholestane"
"13b(H),17a(H)-20S-Methyldiacholestane","13b(H),17a(H)-20S-Methyldiacholestane"
"14a(H),17a(H)-20R-Cholestane","14a(H),17a(H)-20R-Cholestane"
"14a(H),17a(H)-20R-Ethylcholestane","14a(H),17a(H)-20R-Ethylcholestane"
"14a(H),17a(H)-20R-methylcholestane","14a(H),17a(H)-20R-methylcholestane"
"14a(H),17a(H)-20S-Cholestane","14a(H),17a(H)-20S-Cholestane"
"14a(H),17a(H)-20S-Ethylcholestane","14a(H),17a(H)-20S-Ethylcholestane"
"14a(H),17a(H)-20S-methylcholestane","14a(H),17a(H)-20S-methylcholestane"
"14b(H),17b(H)-20R-Cholestane","14b(H),17b(H)-20R-Cholestane"
"14b(H),17b(H)-20R-Ethylcholestane","14b(H),17b(H)-20R-Ethylcholestane"
"14b(H),17b(H)-20R-Methylcholestane","14b(H),17b(H)-20R-Methylcholestane"
"14b(H),17b(H)-20S-Cholestane","14b(H),17b(H)-20S-Cholestane"
"14b(H),17b(H)-20S-Ethylcholestane","14b(H),17b(H)-20S-Ethylcholestane"
"14b(H),17b(H)-20S-Methylcholestane","14b(H),17b(H)-20S-Methylcholestane"
"17a(H),21b(H)-25-Norhopane","17a(H),21b(H)-25-Norhopane"
"17a(H),21b(H)-28,30-Bisnorhopane","17a(H),21b(H)-28,30-Bisnorhopane"
"17a(H),21b(H)-hopane","17a(H),21b(H)-hopane"
17a(H)-Diahopane,17a(H)-Diahopane
"17b(H),21a(H)-hopane (moretane)","17b(H),21a(H)-hopane (moretane)"
18a(H) and 18b(H)-Oleananes,18a(H) and 18b(H)-Oleananes
"18a(H),21b(H)-30-Norneohopane (C29Ts)","18a(H),21b(H)-30-Norneohopane (C29Ts)"
19-But-Fucoxanthin,"19-But-Fucoxanthin, a pigment"
19-Hexanoyloxyfucoxanthin,The phytoplankton pigment 19-Hexanoyloxyfucoxanthin
19-Hex-Fucoxanthin,"19-Hex-Fucoxanthin, a pigment"
1-Chloronaphthalene,1-Chloronaphthalene (C10H7Cl)
1-Ethylnaphthalene,"1-Ethylnaphthalene (C10H7C2H5), a polycyclic aromatic hydrocarbon (PAH)"
1-Methylanthracene,"1-Methylanthracene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
1-Methyldibenzothiophene,1-Methyldibenzothiophene (C13H10S)
1-Methylfluorene,"1-Methylfluorene (C14H12), a polycyclic aromatic hydrocarbon (PAH)"
1-Methylnaphthalene,"1-Methylnaphthalene (C10H7CH3), a polycyclic aromatic hydrocarbon (PAH)"
1-Methylphenanthrene,"1-Methylphenanthrene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
1-Naphthalenol methylcarbamate,1-Naphthalenol methylcarbamate (C12H11NO2)
"2,2-dichlorovinyl dimethyl phosphate","2,2-dichlorovinyl dimethyl phosphate (C4H7Cl2O4P)"
"2,3,4,6-Tetrachlorophenol","2,3,4,6-Tetrachlorophenol (C6H2Cl4O)"
"2,3,5-Trimethylnaphthalene","2,3,5-Trimethylnaphthalene (C13H14), a polycyclic aromatic hydrocarbon (PAH)"
"2,3,6-Trimethylnaphthalene","2,3,6-Trimethylnaphthalene (C10H5(CH3)3), a polycyclic aromatic hydrocarbon (PAH)"
"2,3-Dimethylnaphthalene","2,3-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
"2,4,5-Trichlorophenol","2,4,5-Trichlorophenol (C6H3Cl3O)"
"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol (TCP) (C6H2Cl3OH)"
"2,4-Dichlorophenol","2,4-Dichlorophenol (C6H4Cl2O)"
"2,4-Dimethylphenol","2,4-Dimethylphenol (C8H10O)"
"2,4-Dinitrophenol","2,4-Dinitrophenol (C6H4N2O5)"
"2,4-Dinitrotoluene","2,4-Dinitrotoluene (C7H6N2O4)"
"2,6-Dichlorophenol","2,6-Dichlorophenol (C6H4Cl2O)"
"2,6-Dinitrotoluene","2,6-Dinitrotoluene (C7H6N2O4)"
"2,7-Dimethylnaphthalene","2,7-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
2-Butanone (MEK),2-Butanone (MEK) (C4H8O)
2-Butoxyethanol,2-Butoxyethanol (CH3(CH2)2CH2OCH2OH)
2-Chloronaphthalene,2-Chloronaphthalene (C10H7Cl)
2-Chlorophenol,2-Chlorophenol (C6H5ClO)
2-Hexanone,2-Hexanone (C6H12O)
2-Methylanthracene,"2-Methylanthracene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
2-Methyldibenzothiophene,"2-Methyldibenzothiophene (C13H10S), a polycyclic aromatic hydrocarbon (PAH)"
2-Methylnaphthalene,"2-Methylnaphthalene (C10H7CH3), a polycyclic aromatic hydrocarbon (PAH)"
2-Methylphenanthrene,"2-Methylphenanthrene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
2-Methylphenol,2-Methylphenol (C7H8O)
2-Nitroaniline,2-Nitroaniline (C6H6N2O2)
2-Nitrophenol,2-Nitrophenol (C6H5NO3)
"3,3-Dichlorobenzidine","3,3-Dichlorobenzidine (C12H10Cl2N2)"
"3,6-Dimethylphenanthrene","3,6-Dimethylphenanthrene (C16H14), a polycyclic aromatic hydrocarbon (PAH)"
"30,31,32,33,34-Pentakishomohopane-22R","30,31,32,33,34-Pentakishomohopane-22R"
"30,31,32,33,34-Pentakishomohopane-22S","30,31,32,33,34-Pentakishomohopane-22S"
"30,31,32,33-Tetrakishomohopane-22R","30,31,32,33-Tetrakishomohopane-22R"
"30,31,32,33-Tetrakishomohopane-22S","30,31,32,33-Tetrakishomohopane-22S"
"30,31,32-Trishomohopane-22R","30,31,32-Trishomohopane-22R"
"30,31,32-Trishomohopane-22S","30,31,32-Trishomohopane-22S"
"30,31-Bishomohopane-22R","30,31-Bishomohopane-22R"
"30,31-Bishomohopane-22S","30,31-Bishomohopane-22S"
30-Homohopane-22R,30-Homohopane-22R
30-Homohopane-22S,30-Homohopane-22S
30-Norhopane,A series of hopanes with one less methyl group in the sidechain than the hopanes
30-Normoretane,"30-Normoretane, formula : C29H50"
3-Nitroaniline,3-Nitroaniline (C6H6N2O2)
"4,4-DDD",Dichlorodiphenyldichloroethane (C14H10Cl4)
"4,4-DDE",Dichlorodiphenyldichloroethylene (C14H8Cl4)
"4,4-DDT",Dichlorodiphenyltrichloroethane (C14H9Cl5)
"4,4-Methylenebis(2-chloroaniline)","4,4'-Methylenebis(2-chloroaniline) (C13H12Cl2N2)"
"4,4-Methylenebis(N,N-dimethylaniline)","4,4'-Methylenebis(N,N-dimethylaniline) (C17H22N2)"
"4,6-Dinitro-2-methylphenol","4,6-Dinitro-2-methylphenol (C7H6N2O5)"
4-Bromophenylphenyl ether,4-Bromophenylphenyl ether (C12H9BrO)
4-Chloro-3-methylphenol,4-Chloro-3-methylphenol (C7H7ClO)
4-Chloroaniline,4-Chloroaniline (C6H6ClN)
4-Chlorophenylphenyl ether,4-Chlorophenylphenyl ether (C12H9ClO)
4-Methylchrysene,"4-Methylchrysene (C19H14), a polycyclic aromatic hydrocarbon (PAH)"
4-Methyldibenzothiophene,"4-Methyldibenzothiophene (C13H10S), a polycyclic aromatic hydrocarbon (PAH)"
4-Methylphenol,4-Methylphenol (C7H8O)
4-Nitroaniline,4-Nitroaniline (C6H6N2O2)
4-Nitrophenol,4-Nitrophenol (C6H5NO3)
9 cis-Neoxanthin,The phytoplankton pigment  9 cis-Neoxanthin
"9,10-Dimethylanthracene","9,10-Dimethylanthracene (C16H14), a polycyclic aromatic hydrocarbon (PAH)"
Absorbance,The amount of radiation absorbed by a material
Abundance,"The relative representation of a species in a particular ecosystem. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field."
Acenaphthene,Acenaphthene (C12H10)
Acenaphthylene,"Acenaphthylene (C12H8), a polycyclic aromatic hydrocarbon (PAH)"
Acetate,Acetate
Acetic Acid,Acetic Acid (C2H4O2)
Acetone,Acetone (C3H6O)
Acetophenone,Acetophenone (C6H5C(O)CH3)
Acid neutralizing capacity,Acid neutralizing capacity
"Acidity, CO2 acidity",CO2 acidity
"Acidity, exchange","The total amount of the Cation Exchange Capacity (CEC) of a soil that is due to H+ and Al3+ ions. It is a proportion of the total acidity and it is dependent on the type of soil and the percentage of the CEC that is composed of exchangeable bases (Ca2+, Mg2+, K+)."
"Acidity, hot",Hot Acidity
"Acidity, mineral acidity",Mineral Acidity
"Acidity, total acidity",Total acidity
Adamantane,Adamantane (C10H16)
Agency code,Code for the agency which analyzed the sample
Albedo,The ratio of reflected to incident light.
Aldrin,Aldrin (C12H8Cl6)
"Alkalinity, bicarbonate",Bicarbonate Alkalinity
"Alkalinity, carbonate ",Carbonate Alkalinity
"Alkalinity, carbonate plus bicarbonate","Alkalinity, carbonate plus bicarbonate"
"Alkalinity, hydroxide ",Hydroxide Alkalinity
"Alkalinity, total ",Total Alkalinity
Alloxanthin,The phytoplankton pigment Alloxanthin
"Aluminum, dissolved",Dissolved Aluminum (Al)
"Aluminum, particulate",Particulate aluminum in suspension
"Aluminum, total",Aluminum (Al). Total indicates was measured on a whole water sample.
Ammonium flux,Ammonium (NH4) flux
Aniline,Aniline (C6H7N)
Anthracene,"Anthracene (C14H10), a polycyclic aromatic hydrocarbon (PAH)"
"Antimony, dissolved","Dissolved antimony (Sb).""Dissolved"" indicates measurement was on a filtered sample."
"Antimony, distribution coefficient",Ratio of concentrations of antimony in two phases in equilibrium with each other. Phases must be specified.
"Antimony, particulate",Particulate antimony (Sb) in suspension
"Antimony, total","Total antimony (Sb). ""Total"" indicates was measured on a whole water (unfiltered) sample."
Area,Area of a measurement location
Argon,Argon
"Argon, dissolved",Dissolved Argon
Aroclor-1016,"Aroclor-1016 (C24H13Cl7), a PCB mixture"
Aroclor-1242,"Aroclor-1242 (C12H6Cl4), a PCB mixture"
Aroclor-1254,"Aroclor-1254 (C12H5Cl5), a PCB mixture"
Aroclor-1260,"Aroclor-1260 (C12H3Cl7), a PCB mixture"
"Arsenic, dissolved","Dissolved Arsenic. For chemical terms, dissolved represents a filtered sample."
"Arsenic, distribution coefficient",Ratio of concentrations of arsenic in two phases in equilibrium with each other. Phases must be specified.
"Arsenic, particulate",Particulate arsenic (As) in suspension
"Arsenic, total",Total arsenic (As). Total indicates was measured on a whole water sample.
Asteridae coverage,Areal coverage of the plant Asteridae
"Barium, dissolved",Dissolved Barium (Ba)
"Barium, distribution coefficient",Ratio of concentrations of barium in two phases in equilibrium with each other. Phases must be specified
"Barium, particulate",Particulate barium (Ba) in suspension
"Barium, total","Total Barium (Ba). For chemical terms, ""total"" indicates an unfiltered sample."
Barometric pressure,Barometric pressure
Baseflow,The portion of streamflow (discharge) that is supplied by groundwater sources.
Batis maritima Coverage,Areal coverage of the plant Batis maritima
Battery temperature,The battery temperature of a datalogger or sensing system
Battery voltage,"The battery voltage of a datalogger or sensing system, often recorded as an indicator of data reliability"
Benthos,Benthic species
Benz(a)anthracene,"Benz(a)anthracene (C18H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzene,Benzene (C6H6)
Benzo(a)pyrene,"Benzo(a)pyrene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzo(b)fluoranthene,"Benzo(b)fluoranthene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzo(b)fluorene,"Benzo(b)fluorene (C17H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzo(e)pyrene,"Benzo(e)pyrene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
"Benzo(g,h,i)perylene","Benzo(g,h,i)perylene (C22H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzo(k)fluoranthene,"Benzo(k)fluoranthene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzoic acid,Benzoic acid (C7H6O2)
Benzyl alcohol,Benzyl alcohol (C7H8O)
"Beryllium, dissolved","Dissolved Beryllium (Be) . For chemical terms, ""dissolved""indicates a filtered sample."
"Beryllium, total","Total Beryllium (Be). For chemical terms, ""total"" indicates an unfiltered sample."
Bicarbonate,Bicarbonate (HCO3-)
Bifenthrin,Bifenthrin (C23H22ClF3O2)
Biogenic silica,Hydrated silica (SiO2 nH20)
Biomass,"Mass of living biological organisms in a given area or ecosystem at a given time. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field."
"Biomass, phytoplankton","Total mass of phytoplankton, per unit area or volume"
"Biomass, total",Total biomass
Biphenyl,"Biphenyl ((C6H5)2), a polycyclic aromatic hydrocarbon (PAH), also known as diphenyl or phenylbenzene or 1,1'-biphenyl or lemonene"
Bis(2-chloroethoxy)methane,Bis(2-chloroethoxy)methane (C5H10Cl2O2)
bis(2-Chloroethyl)ether,bis(2-Chloroethyl)ether (C4H8Cl2O)
Bis-(2-ethylhexyl) phthalate,Bis-(2-ethylhexyl) phthalate (C6H4(C8H17COO)2)
bis-2-chloroisopropyl ether,bis-2-chloroisopropyl ether (C6H12Cl2O)
"Blue-green algae (cyanobacteria), phycocyanin",Blue-green algae (cyanobacteria) with phycocyanin pigments
BOD1,1-day Biochemical Oxygen Demand
"BOD2, carbonaceous",2-day Carbonaceous Biochemical Oxygen Demand
BOD20,20-day Biochemical Oxygen Demand
"BOD20, carbonaceous",20-day Carbonaceous Biochemical Oxygen Demand
"BOD20, nitrogenous",20-day Nitrogenous Biochemical Oxygen Demand
"BOD3, carbonaceous",3-day Carbonaceous Biochemical Oxygen Demand
"BOD4, carbonaceous",4-day Carbonaceous Biological Oxygen Demand
BOD5,5-day Biochemical Oxygen Demand
"BOD5, carbonaceous",5-day Carbonaceous Biochemical Oxygen Demand
"BOD5, nitrogenous",5-day Nitrogenous Biochemical Oxygen Demand
"BOD6, carbonaceous",6-day Carbonaceous Biological Oxygen Demand
"BOD7, carbonaceous",7-day Carbonaceous Biochemical Oxygen Demand
BODu,Ultimate Biochemical Oxygen Demand
"BODu, carbonaceous",Carbonaceous Ultimate Biochemical Oxygen Demand
"BODu, nitrogenous",Nitrogenous Ultimate Biochemical Oxygen Demand
Body length,Length of the body of an organism
Borehole log material classification,Classification of material encountered by a driller at various depths during the drilling of a well and recorded in the borehole log.
"Boron, dissolved",dissolved boron
"Boron, total",Total Boron (B)
Borrichia frutescens Coverage,Areal coverage of the plant Borrichia frutescens
"Bromide, dissolved",Dissolved Bromide (Br-)
"Bromide, total",Total Bromide (Br-)
Bromine,Bromine (Br2)
"Bromine, dissolved",Dissolved Bromine (Br2)
Bromodichloromethane,Bromodichloromethane (CHBrCl2)
Bromoform,"Bromoform (CHBr3), a haloform"
Bromomethane (Methyl bromide),Bromomethane (Methyl bromide) (CH3Br)
Bulk density,"The mass of many particles of the material divided by the total volume they occupy. The total volume includes particle volume, inter-particle void volume and internal pore volume."
Bulk electrical conductivity,"Bulk electrical conductivity of a medium measured using a sensor such as time domain reflectometry (TDR), as a raw sensor response in the measurement of a quantity like soil moisture."
Butane,Butane
Butylbenzylphthalate,Butylbenzylphthalate (C19H20O4)
Butyric Acid,Butyric Acid (C4H8O2)
C1-Chrysenes,"A group of alkyl chrysene compounds which all have one carbon group (that is, one methyl group) attached"
C1-Dibenzothiophenes,"A group of alkyl dibenzothiophene compounds which all have one carbon group (that is, one methyl group) attached"
C1-Fluoranthenes/Pyrenes,"A group of alkyl fluoranthene and pyrene compounds which all have one carbon group (that is, one methyl group) attached"
C1-Fluorene,"A group of alkyl fluorene compounds which all have one carbon group (that is, one methyl group) attached"
C1-Naphthalene,"A group of alkyl naphthalene compounds which all have one carbon group (that is, one methyl group) attached"
C1-Phenanthrene/Anthracene,"A group of alkyl phenanthrene and anthracene compounds which all have one carbon group (that is, one methyl group) attached"
C23 Tricyclic Terpane,C23 Tricyclic Terpane
C24 Tetracyclic Terpane,C24 Tetracyclic Terpane
C24 Tricyclic Terpane,C24 Tricyclic Terpane
C25 Tricyclic Terpane,C25 Tricyclic Terpane
C26 Tricyclic Terpane-22R,C26 Tricyclic Terpane-22R
C26 Tricyclic Terpane-22S,C26 Tricyclic Terpane-22S
C28 Tricyclic Terpane-22R,C28 Tricyclic Terpane-22R
C28 Tricyclic Terpane-22S,C28 Tricyclic Terpane-22S
C29 Tricyclic Terpane-22R,C29 Tricyclic Terpane-22R
C29 Tricyclic Terpane-22S,C29 Tricyclic Terpane-22S
C2-Chrysenes,"A group of alkyl chrysene compounds which all have two carbon groups (that is, dimethyl or ethyl group) attached"
C2-Dibenzothiophenes,"A group of alkyl dibenzothiophene compounds which all have two carbon groups (that is, dimethyl or ethyl group) attached"
C2-Fluoranthenes/Pyrenes,A group of alkyl fluoranthene and pyrene compounds which all have two carbon groups attached
C2-Fluorene,"A a group of alkyl fluorene compounds which all have two carbon groups (that is, dimethyl or ethyl group) attached"
C2-Naphthalene,"A group of alkyl naphthalene compounds which all have two carbon groups (that is, dimethyl or ethyl group) attached"
C2-Phenanthrene/Anthracene,"A group of alkyl phenanthrene and anthracene compounds which all have two carbon groups (that is, a dimethyl or ethyl group) attached"
C3-Chrysenes,"A group of alkyl chrysene compounds which all have three carbon groups (that is, trimethyl, methylethyl, or propyl group) attached"
C3-Dibenzothiophenes,"A group of alkyl dibenzothiophene compounds which all have three carbon groups (that is, trimethyl, methylethyl, or propyl group) attached"
C3-Fluoranthenes/Pyrenes,A group of alkyl fluoranthene and pyrene compounds which all have three carbon groups attached
C3-Fluorene,"A group of alkyl fluorene compounds which all have three carbon groups (that is, trimethyl, methylethyl, or propyl group) attached"
C3-Naphthalene,"A group of alkyl naphthalene compounds which all have three carbon groups (that is, trimethyl, methylethyl, or propyl group) attached"
C3-Phenanthrene/Anthracene,"A group of alkyl phenanthrene and anthracene compounds which all have three carbon groups (that is, a trimethyl, methylethyl, or propyl group) attached"
C4-Chrysenes,"A group of alkyl chrysene compounds which all have four carbon groups (that is, tetramethyl, butyl, methylpropyl, or diethyl group) attached"
C4-Dibenzothiophenes,A group of alkyl dibenzothiophene compounds which all have four carbon groups attached
C4-Naphthalene,"A group of alkyl naphthalene compounds which all have four carbon groups (that is, tetramethyl, butyl, methylpropyl, or diethyl group) attached"
C4-Phenanthrene/Anthracene,"A group of alkyl phenanthrene and anthracene compounds which all have four carbon groups (that is, a tetramethyl, diethyl, or methylpropyl group) attached"
"Cadmium, dissolved","Dissolved Cadmium. For chemical terms, ""dissolved"" indicates a filtered sample."
"Cadmium, distribution coefficient",Ratio of concentrations of cadmium in two phases in equilibrium with each other. Phases must be specified.
"Cadmium, particulate",Particulate cadmium (Cd) in suspension
"Cadmium, total","Total Cadmium (Cd). For chemical terms, ""total"" indciates an unfiltered sample."
"Calcium, dissolved",Dissolved Calcium (Ca)
"Calcium, total",Total Calcium (Ca)
Canthaxanthin,The phytoplankton pigment Canthaxanthin
Carbaryl,Carbaryl (C12H11NO2)
Carbazole,Carbazole (C12H9N)
Carbon dioxide,Carbon dioxide
Carbon dioxide flux,Carbon dioxide (CO2) flux
Carbon dioxide storage flux,Carbon dioxide (CO2) storage flux
"Carbon Dioxide, dissolved",Dissolved Carbon dioxide (CO2)
"Carbon dioxide, transducer signal","Carbon dioxide (CO2), raw data from sensor"
Carbon disulfide,Carbon disulfide (CS2)
"Carbon monoxide, dissolved",Dissolved carbon monoxide (CO)
Carbon tetrachloride,Carbon tetrachloride (CCl4)
Carbon to nitrogen mass ratio,Carbon to nitrogen (C:N) mass ratio
Carbon to nitrogen molar ratio,Carbon to nitrogen (C:N) molar ratio
"Carbon, dissolved inorganic",Dissolved Inorganic Carbon
"Carbon, dissolved organic",Dissolved Organic Carbon
"Carbon, dissolved total",Dissolved Total (Organic+Inorganic) Carbon
"Carbon, particulate organic",Particulate organic carbon in suspension
"Carbon, suspended inorganic",Suspended Inorganic Carbon
"Carbon, suspended organic","DEPRECATED -- The use of this term is discouraged in favor of the use of the synonymous term ""Carbon, particulate organic""."
"Carbon, suspended total",Suspended Total (Organic+Inorganic) Carbon
"Carbon, total",Total (Dissolved+Particulate) Carbon
"Carbon, total inorganic",Total (Dissolved+Particulate) Inorganic Carbon
"Carbon, total organic",Total (Dissolved+Particulate) Organic Carbon
"Carbon, total solid phase",Total solid phase carbon
"Carbon-13, stable isotope ratio delta",Difference in the 13C:12C ratio between the sample and standard (del C 13)
Carbon-14,A radioactive isotope of carbon which undergoes beta decay
Carbonate,Carbonate ion (CO3-2) concentration
"Cesium, dissolved",Dissolved Cesium (Cs)
"Cesium, total",Total Cesium (Cs)
Cesium-137,A radioactive isotope of cesium which is formed as a fission product by nuclear fission of uranium or plutonium.
Chloride,Chloride (Cl-)
"Chloride, dissolved",Dissolved Chloride (Cl-)
"Chloride, total",Total Chloride (Cl-)
Chlorine,Chlorine (Cl2)
"Chlorine, dissolved",Dissolved Chlorine (Cl2)
Chlorobenzene,Chlorobenzene (C6H5Cl)
Chlorobenzilate,Chlorobenzilate (C16H14Cl2O3)
Chloroethane,Chloroethane (C2H5Cl)
Chloroethene,Chloroethene (C2H3Cl)
Chloroform,"Chloroform (CHCl3), a haloform"
Chloromethane,Chloromethane (CH3Cl)
Chlorophyll (a+b+c),Chlorophyll (a+b+c)
Chlorophyll a,Chlorophyll a
Chlorophyll a allomer,The phytoplankton pigment Chlorophyll a allomer
Chlorophyll a plus pheopigment,Sum of chlorophyll a and phaeopigments
Chlorophyll a to pheopigment ratio,Ratio of chlorophyll a to pheopigment
"Chlorophyll a, corrected for pheophytin",Chlorphyll a corrected for pheophytin
"Chlorophyll a, uncorrected for pheophytin",Chlorophyll a uncorrected for pheophytin
Chlorophyll b,Chlorophyll b
Chlorophyll c,Chlorophyll c
Chlorophyll c1 and c2,Chlorophyll c1 and c2
Chlorophyll c2,"Chlorophyll c2, a form of chlorophyll"
Chlorophyll fluorescence,Chlorophyll Fluorescence
Chromium (III),Trivalent Chromium
Chromium (VI),Hexavalent Chromium
"Chromium (VI), dissolved",Dissolved Hexavalent Chromium
"Chromium, dissolved",Dissolved Chromium
"Chromium, distribution coefficient",Ratio of concentrations of chromium in two phases in equilibrium with each other. Phases must be specified.
"Chromium, particulate",Particulate chromium (Cr) in suspension
"Chromium, total",Total chromium (Cr). Total indicates was measured on a whole water (unfiltered) sample.
Chrysene,"Chrysene (C18H12), a polycyclic aromatic hydrocarbon (PAH)"
"cis-1,2-Dichloroethene","cis-1,2-Dichloroethene (C2H2Cl2)"
"cis-1,3-Dichloropropene","cis-1,3-Dichloropropene (C3H4Cl2)"
"Clay, total",Total clay
"Cobalt, dissolved",Dissolved Cobalt (Co)
"Cobalt, total",Total Cobalt (Co)
Cobalt-60,A synthetic radioactive isotope of cobalt with a half-life of 5.27 years.
COD,Chemical oxygen demand
"Coliform, fecal",Fecal Coliform
"Coliform, total",Total Coliform
Color,Color in quantified in color units
Colored dissolved organic matter,The concentration of colored dissolved organic matter (humic substances)
Container number,The identifying number for a water sampler container.
"Copper, dissolved",Dissolved Copper (Cu)
"Copper, distribution coefficient",Ratio of concentrations of copper in two phases in equilibrium with each other. Phases must be specified.
"Copper, particulate",Particulate copper (Cu) in suspension
"Copper, total","Total copper (Cu). ""Total"" indicates was measured on a whole water (unfiltered) sample."
Counter,The total number of events within the measurement period
Cryptophytes,The chlorophyll a concentration contributed by cryptophytes
Cuscuta spp. coverage,Areal coverage of the plant Cuscuta spp.
Cyanide,Cyanide (CN)
Cyclohexane,Cyclohexane (C6H6Cl6)
"Cytochrome P450, family 1, subfamily A, polypeptide 1, delta cycle threshold","Delta cycle threshold for Cytochrome P450, family 1, subfamily A, polypeptide 1 (cyp1a1). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for cyp1a1 is the difference between the cycle threshold (Ct) of cyp1a1 gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin)."
Cytosolic protein,The total protein concentration within the cytosolic fraction of cells. The cytosol refers to the intracellular fluid or cytoplasmic matrix of a eukaryotic cell.
Data shuttle attached,A categorical variable marking the attachment of a coupler or data shuttle to a logger. This is used for quality control.
Data shuttle detached,A categorical variable marking the detatchment of a coupler or data shuttle to a logger. This is used for quality control.
delta-13C of C2H6,Isotope 13C of ethane
delta-13C of C3H8,Isotope 13C of propane
delta-13C of C4H10,Isotope 13C of butane
delta-13C of CH4,Isotope 13C of methane
delta-13C of CO2,Isotope 13C of carbon dioxide
delta-13C of DIC,Isotope 13C of dissolved inorganic carbon (DIC)
delta-13C of DOC,Isotope 13C of dissolved organic carbon (DOC)
